name,website,total_aum,asset_class,main_sdg,impact_focuses,firm_category,firm_hq,years_in_op,total_investors,capital_from_top_3,lead_total_impact_exp,top_3_impact_exp,pct_invest_women,pct_invest_poc,pct_sr_mgmt_women,pct_sr_mgmt_poc,target_return_bm,target_return_perf,report_freq,pct_aum_impact,primary_sdg,secondary_sdg,value_add_services,impact_tracked,impact_verified,impact_reported,list_of_validators
"Hudson Valley Property Group, LLC",https://hudsonvalleypropertygroup.com/,$500 – 999M,"Real Estate, Private Equity",11 – Sustainable Cities & Communities,"['Clean Technology, Alternative Energy & Climate Change', 'Affordable Housing & Community Development', 'Diversity, Equity and Inclusion']",Real Estate,US & Canada,10 years or more,More than 25,25% – 49%,30 years or more,30 years or more,Less than 25%,Data Not Available,25% to less than 50%,Data Not Available,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Providing housing,Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Promoting arts and media', 'Providing housing', 'Addressing racial inequities', 'Financial literacy training', 'Technology training', 'Health services', 'Education services', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Illumen Capital,https://www.illumencapital.com/,$100 – 499M,Private Equity,10 – Reduced Inequalities,"['Nutrition, Health and Wellness', 'Diversity, Equity and Inclusion']",Fund of Funds,US & Canada,5 – 9 years,More than 25,Less than 25%,30 years or more,20 – 29 years,Less than 25%,50% or more,Less than 25%,50% or more,Market Rates,In line with initial target returns,Quarterly,100%,Addressing racial inequities,Addressing climate change and environmental issues,"['Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Addressing gender inequities', 'Racial bias training or bias training', 'Other: Access to fundraising networks, guidance on operational and compliance functions']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Impact Engine
Management, PBC",https://www.theimpactengine.com/,$100 – 499M,Private Equity,8 – Decent Work & Economic Growth,"['Clean Technology, Alternative Energy & Climate Change', 'Global Health']",Private Equity - Growth Stage (Developed Markets),US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,50% or more,50% or more,50% or more,50% or more,Market Rates,In line with initial target returns,Quarterly,100%,"Other: We have three impact themes we invest in through all of our funds, economic opportunity, health equity and environmental sustainability.",Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Addressing racial inequities', 'Addressing gender inequities', 'Other: We have a team dedicated to portfolio management who meets regularly with our entrepreneurs to understand the challenges and opportunities they are facing.']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Incofin Investment Management,https://incofin.com/,$1B or more,"Private Debt - Absolute Return / Notes, Private Equity",8 – Decent Work & Economic Growth,"['Water and Sanitation', 'Sustainable Agriculture', 'Microfinance, low-income financial services & micro-insurance']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",Western Europe,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Near-market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Increasing access to workforce development services, job skilling and retraining', 'Increasing access to water and sanitation', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Education services', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
INOKS Capital,http://www.inokscapital.ch/,$500 – 999M,Private Debt - Absolute Return / Notes,2 – Zero Hunger,"['Sustainable Agriculture', 'Small/Medium Business Development', 'Diversity, Equity and Inclusion']",Private Debt - Smallholder Farmers,Western Europe,10 years or more,More than 25,25% – 49%,30 years or more,30 years or more,25% to less than 50%,50% or more,Less than 25%,50% or more,Near-market Rates,In line with initial target returns,Quarterly,100%,Alleviating poverty,Addressing climate change and environmental issues,"['Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Education services', 'Human Resources, recruiting and professional development services']",Yes,Yes,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Inspired Evolution
Investment Management",https://inspiredevolution.co.za/,$500 – 999M,Private Equity,7 – Affordable & Clean Energy,"['Clean Technology, Alternative Energy & Climate Change', 'Small/Medium Business Development', 'Diversity, Equity and Inclusion']",Private Equity - Growth Stage (Emerging Markets),Africa,10 years or more,Between 5 – 25,25% – 49%,30 years or more,30 years or more,25% to less than 50%,25% to less than 50%,Less than 25%,Less than 25%,Near-market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Creating jobs,"['Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Technology training', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Investisseurs & Partenaires,http://www.ietp.com/en,$100 – 499M,Private Equity,8 – Decent Work & Economic Growth,"['Small/Medium Business Development', 'Job creation and workforce development', 'Place-based impact']",Private Equity - Growth Stage (Emerging Markets),Western Europe,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,50% or more,25% to less than 50%,50% or more,Near-market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Health services', 'Human Resources, recruiting and professional development services']",Yes,Yes,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Iroquois Valley Farmland
REIT, PBC",https://iroquoisvalley.com/,$100 – 499M,"Private Debt - Absolute Return / Notes, Real Estate, Private Equity",13 – Climate Action,"['Nutrition, Health and Wellness', 'Natural Resources and Conservation', 'Sustainable Agriculture']",Real Assets - Farmland,US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,20 – 29 years,25% to less than 50%,Less than 25%,25% to less than 50%,Less than 25%,Near-market Rates,In line with initial target returns,Semi-annually,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Addressing racial inequities', 'Addressing gender inequities', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Education services', 'Other: We help facilitate farmer peer to peer training']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"JFF Ventures
(fka ETF@JFFLabs)",https://info.jff.org/ventures,Less than $25M,"Private Debt - Absolute Return / Notes, Private Equity",8 – Decent Work & Economic Growth,[],"Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,5 – 9 years,Between 5 – 25,Less than 25%,30 years or more,30 years or more,50% or more,50% or more,50% or more,50% or more,Concessionary Rates,Over-delivered compared to initial target returns,Quarterly,100%,"Increasing access to workforce development services, job skilling and retraining",Alleviating poverty,"['Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Education services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Kairos Investment
Management Company",https://kimc.com/,$1B or more,"Private Debt - Absolute Return / Notes, Real Estate, Private Equity",11 – Sustainable Cities & Communities,"['Nutrition, Health and Wellness', 'Affordable Housing & Community Development', 'Natural Resources and Conservation']",Real Estate,US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,10 – 19 years,25% to less than 50%,25% to less than 50%,Less than 25%,25% to less than 50%,Market Rates,Over-delivered compared to initial target returns,Quarterly,50% – 74%,Providing housing,Addressing climate change and environmental issues,"['Increasing access to workforce development services, job skilling and retraining', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Promoting arts and media', 'Providing housing', 'Addressing gender inequities', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Health services', 'Education services', 'Human Resources, recruiting and professional development services', 'Other: Food, warm winter gear, holiday gifts, disaster preparation']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Kapor Capital
Management, LLC",https://www.kaporcapital.com/,$100 – 499M,Private Equity,10 – Reduced Inequalities,"['Education', 'Global Health', 'Racial equity and justice']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,10 years or more,More than 25,Less than 25%,20 – 29 years,20 – 29 years,25% to less than 50%,50% or more,Less than 25%,50% or more,Market Rates,In line with initial target returns,Quarterly,100%,"Other: Closing gaps of access, opportunity or outcome for low income communities and/or communities of color in the US.",Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Addressing racial inequities', 'Addressing gender inequities', 'Education services', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services', 'Other: Mental health services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Katapult Accelerator AS,https://katapult.vc/,$50 – 99M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",Western Europe,5 – 9 years,Between 5 – 25,25% – 49%,20 – 29 years,20 – 29 years,Less than 25%,Less than 25%,Less than 25%,Less than 25%,Market Rates,Over-delivered compared to initial target returns,Semi-annually,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Creating jobs', 'Increasing access to water and sanitation', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Education services', 'Racial bias training or bias training', 'Other: Impact training']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
LeapFrog Investments,https://leapfroginvest.com/,$1B or more,Private Equity,1 – No Poverty,"['Small/Medium Business Development', 'Microfinance, low-income financial services & micro-insurance', 'Global Health']",Private Equity - Growth Stage (Emerging Markets),Africa,10 years or more,More than 25,25% – 49%,30 years or more,30 years or more,25% to less than 50%,50% or more,25% to less than 50%,25% to less than 50%,Above Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Providing housing', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training']",Yes,Yes,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Learn Capital,https://www.learn.vc/,$1B or more,Private Equity,4 – Quality Education,"['Nutrition, Health and Wellness', 'Education', 'Job creation and workforce development']",Venture Capital - Multi Stage - Developed Markets,US & Canada,10 years or more,Between 5 – 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,50% or more,Less than 25%,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to education and improving educational outcomes,"Increasing access to workforce development services, job skilling and retraining","['Education services', 'Human Resources, recruiting and professional development services', 'Other: Impact measurement training/acceleration']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Lendable Inc,https://lendable.io/,$100 – 499M,Private Debt - Absolute Return / Notes,8 – Decent Work & Economic Growth,"['Clean Technology, Alternative Energy & Climate Change', 'Small/Medium Business Development', 'Job creation and workforce development']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",US & Canada,5 – 9 years,More than 25,25% – 49%,30 years or more,20 – 29 years,25% to less than 50%,25% to less than 50%,25% to less than 50%,50% or more,Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Creating jobs', 'Increasing access to financial services', 'Addressing gender inequities', 'Access to markets', 'Other: Technical assistance training for initiatives to improve gender diversity, cybersecurity, climate-related disclosures and product development']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Lime Rock New Energy, L.P.",https://www.lrnewenergy.com/,$100 – 499M,Private Equity,7 – Affordable & Clean Energy,"['Clean Technology, Alternative Energy & Climate Change', 'Diversity, Equity and Inclusion', 'Job creation and workforce development']",Private Equity - Growth Stage (Developed Markets),US & Canada,3 – 4 years,More than 25,25% – 49%,30 years or more,20 – 29 years,Less than 25%,25% to less than 50%,Less than 25%,Less than 25%,Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to water and sanitation', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Human Resources, recruiting and professional development services', 'Other: ESG and Impact training and support, operational expertise']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Living Cities Inc.,https://livingcities.org/,$25 – 49M,"Private Debt - Absolute Return / Notes, Private Equity",10 – Reduced Inequalities,"['Small/Medium Business Development', 'Diversity, Equity and Inclusion', 'Racial equity and justice']",Fund of Funds,US & Canada,10 years or more,Between 5 – 25,25% – 49%,30 years or more,10 – 19 years,50% or more,50% or more,50% or more,50% or more,Concessionary Rates,In line with initial target returns,Quarterly,100%,Addressing racial inequities,Alleviating poverty,"['Creating jobs', 'Increasing access to financial services', 'Providing housing', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Racial bias training or bias training', 'Other: Technical assistance']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Local Enterprise
Assistance Fund, Inc.",https://leaffund.org/,$25 – 49M,Private Debt - Absolute Return / Notes,8 – Decent Work & Economic Growth,"['Affordable Housing & Community Development', 'Small/Medium Business Development', 'Microfinance, low-income financial services & micro-insurance']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Development Markets)",US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,Less than 25%,50% or more,Less than 25%,50% or more,Concessionary Rates,In line with initial target returns,Annually,75% – 99%,Addressing racial inequities,Creating jobs,"['Increasing access to financial services', 'Access to markets', 'Business and legal training']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Local Initiatives
Support Corporation",https://www.lisc.org/,$1B or more,"Private Debt - Absolute Return / Notes, Real Estate, Private Equity",1 – No Poverty,"['Affordable Housing & Community Development', 'Place-based impact', 'Racial equity and justice']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,50% or more,50% or more,50% or more,50% or more,Near-market Rates,In line with initial target returns,Quarterly,100%,Alleviating poverty,Addressing climate change and environmental issues,"['Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Promoting arts and media', 'Providing housing', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training']",Yes,Yes,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Lok Impact Advisors
Pvt. Ltd",https://www.lokcapital.com/,$100 – 499M,Private Equity,8 – Decent Work & Economic Growth,"['Clean Technology, Alternative Energy & Climate Change', 'Sustainable Agriculture', 'Microfinance, low-income financial services & micro-insurance']",Venture Capital - Late Stage (Series A/B) - Emerging Markets,Asia & Oceania,10 years or more,Between 5 – 25,25% – 49%,30 years or more,30 years or more,25% to less than 50%,50% or more,25% to less than 50%,50% or more,Above Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Creating jobs', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Providing housing', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services', 'Other: We support our investees in developing ESG systems and practices, internal policies and impact measurement and management capacities.']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Maycomb Capital,https://www.maycombcapital.com/,$50 – 99M,Private Debt - Absolute Return / Notes,10 – Reduced Inequalities,"['Nutrition, Health and Wellness', 'Education', 'Job creation and workforce development']",Private Debt - Other,US & Canada,5 – 9 years,Between 5 – 25,25% – 49%,30 years or more,30 years or more,50% or more,25% to less than 50%,50% or more,Less than 25%,Near-market Rates,In line with initial target returns,Quarterly,100%,Other: Increasing access to economic opportunity,"Increasing access to workforce development services, job skilling and retraining","['Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Addressing racial inequities', 'Other: Technical assistance and structuring']",Yes,Yes,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
MCE Social Capital,https://www.mcesocap.org/,$50 – 99M,Private Debt - Absolute Return / Notes,8 – Decent Work & Economic Growth,"['Sustainable Agriculture', 'Small/Medium Business Development', 'Microfinance, low-income financial services & micro-insurance']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",US & Canada,10 years or more,More than 25,50% – 99%,30 years or more,30 years or more,50% or more,25% to less than 50%,50% or more,Less than 25%,Concessionary Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Creating jobs', 'Increasing access to water and sanitation', 'Addressing gender inequities', 'Access to markets']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"MCJ Venture Management, LP",https://www.mcjcollective.com/,$50 – 99M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation', 'Sustainable Agriculture']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,Less than 3 years,More than 25,Less than 25%,30 years or more,20 – 29 years,Less than 25%,25% to less than 50%,Less than 25%,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Access to markets', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Media Development
Investment Fund, Inc.",https://www.mdif.org/,$100 – 499M,"Private Debt - Absolute Return / Notes, Public Equity, Private Equity","16 – Peace, Justice & Strong Institutions","['Media, Technology and Mobile']",Private Equity - Growth Stage (Emerging Markets),US & Canada,10 years or more,Between 5 – 25,50% – 99%,30 years or more,30 years or more,50% or more,50% or more,50% or more,Less than 25%,Concessionary Rates,In line with initial target returns,Quarterly,100%,"Other: Media providing reliable news and information, as well as exposing corruption and holding governments to account, support all SDGs",Business and legal training,"['Financial literacy training', 'Technology training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"MicroVest Capital
Management, LLC",https://microvestfund.com/,$100 – 499M,Private Debt - Absolute Return / Notes,1 – No Poverty,"['Small/Medium Business Development', 'Microfinance, low-income financial services & micro-insurance', 'Job creation and workforce development']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",US & Canada,10 years or more,More than 25,25% – 49%,30 years or more,30 years or more,25% to less than 50%,25% to less than 50%,50% or more,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Alleviating poverty,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Providing housing', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Health services', 'Education services', 'Human Resources, recruiting and professional development services', 'Other: Majority offered through parent company, DAI Global']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Mission Driven Finance, LLC",https://www.missiondrivenfinance.com/,$25 – 49M,"Private Debt - Absolute Return / Notes, Real Estate",10 – Reduced Inequalities,"['Affordable Housing & Community Development', 'Small/Medium Business Development', 'Demographic-based impact']",Private Debt - Other,US & Canada,5 – 9 years,More than 25,Less than 25%,30 years or more,20 – 29 years,50% or more,50% or more,50% or more,25% to less than 50%,Near-market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing racial inequities,Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Providing housing', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
New Summit Investments,https://www.newsummitinvestments.com/,$100 – 499M,"Cash / Cash Alternatives, Private Debt - Absolute Return / Notes, Real Estate, Commodities, Private Equity",7 – Affordable & Clean Energy,"['Clean Technology, Alternative Energy & Climate Change', 'Nutrition, Health and Wellness', 'Job creation and workforce development']",Fund of Funds,US & Canada,5 – 9 years,More than 25,Less than 25%,30 years or more,30 years or more,50% or more,Less than 25%,50% or more,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Alleviating poverty,"['Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Providing housing', 'Addressing racial inequities', 'Addressing gender inequities', 'None']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
